date	ur	pi_gr	nyse_gr	tb_sqrt_diff	ics_log_diff	pce_gr_diff	perc_pos_rev_weighted	perc_neg_rev_weighted	perc_uncert_rev_weighted	perc_litig_rev_weighted	perc_modal_wk_rev_weighted	perc_modal_mod_rev_weighted	perc_constrain_rev_weighted	perc_modal_str_rev_weighted_diff
2011-02-01	9	0.005373768	0.03678385	-0.026743207	0.043513786	0.004506908	2.055310798	0.93588036	0.887691462	0.064782495	0.390423476	0.556728544	0.115867806	0.011286074
2011-03-01	9	0.000978791	-0.003978093	-0.044327362	-0.138150338	0.004363405	1.960704839	0.979452392	0.957424913	0.073102265	0.387478896	0.560045154	0.142131806	-0.049558176
2011-04-01	9.1	-0.004194118	0.024966568	-0.071278792	0.033506412	-0.010711138	1.938265146	0.996467991	0.923576782	0.078600874	0.333085664	0.545895367	0.133148769	-0.015393164
2011-05-01	9	0.002018951	-0.022387349	-0.044948974	0.062476942	0.00533671	1.876115903	0.98100229	0.898621761	0.09635982	0.310097927	0.529552778	0.12333862	-0.008993104
2011-06-01	9.1	0.004512322	-0.018659365	0	-0.038413502	3.24E-05	1.868679254	0.915597623	0.822218221	0.094032129	0.309481224	0.549874991	0.102769278	-0.018449337
2011-07-01	9	-0.001663016	-0.035026563	0	-0.115512887	-0.004937783	1.824810715	0.923559944	0.831091565	0.09271743	0.32475764	0.594483122	0.103240147	-0.074616952
2011-08-01	9	0.001325281	-0.068203961	-0.058578644	-0.132410693	0.004764235	1.815619615	0.891614565	0.838118743	0.093137163	0.298066739	0.626103888	0.105362245	-0.017220858
2011-09-01	9	-0.000343447	-0.097861591	-0.041421356	0.064202443	0.001341048	1.874381631	0.914035621	0.846307069	0.097032983	0.305152301	0.617658065	0.104452621	0.031430731
2011-10-01	8.8	0.000329374	0.11193684	0.041421356	0.021613476	-0.003629415	1.92026845	0.960474347	0.807497798	0.092665342	0.302422654	0.579056543	0.079049482	0.012172646
2011-11-01	8.6	0.001865203	-0.010429184	-0.041421356	0.046594774	0.000720116	1.967727757	0.908572482	0.822493475	0.081803816	0.314349469	0.544810854	0.074838735	0.013353315
2011-12-01	8.5	0.009642598	-0.000998091	0	0.092881087	0.000585176	1.982023807	0.913389735	0.841314026	0.096363289	0.337886723	0.509552034	0.081059206	-0.031034144
2012-01-01	8.3	0.00474986	0.041828863	0.073205081	0.070422464	0.000901115	2.302206468	0.884065291	0.848670012	0.075962329	0.359205221	0.520380238	0.132868589	0.089331883
2012-02-01	8.3	0.008448516	0.035052747	0.126794919	0.003992021	0.006333112	2.377795755	0.870930408	0.830056419	0.078566542	0.348644133	0.508958325	0.126335168	0.032790862
2012-03-01	8.2	0.005360777	0.011547723	-0.017157288	0.011881328	-0.008569781	2.371251956	0.860870888	0.833503488	0.100916252	0.348914204	0.542343144	0.1286652	-0.029095476
2012-04-01	8.2	0.001257375	-0.014605873	0	0.002621233	-0.001248624	2.2366804	0.883910546	0.815586638	0.096340991	0.356352715	0.552887754	0.119936427	-0.032221905
2012-05-01	8.2	-0.000345073	-0.080686692	0.017157288	0.037255432	0.000392869	2.092476742	0.919648399	0.773548277	0.09356814	0.341690652	0.607609652	0.079557888	-0.057441901
2012-06-01	8.2	0.00035322	0.04526818	0	-0.080042708	-0.00102212	1.765076488	1.075931025	0.887967094	0.098752582	0.421772518	0.71551514	0.072468424	-0.00375053
2012-07-01	8.2	-0.011799026	0.00280926	0.016227766	-0.012371292	-0.000266978	1.730147532	1.092464677	0.854890386	0.090526548	0.413368835	0.695123265	0.070903651	0.035144908
2012-08-01	8.1	-0.000500913	0.019201595	0	0.027286823	0.004750588	2.030219102	0.941473189	0.822939739	0.085240364	0.354378897	0.608058701	0.069890062	0.051806292
2012-09-01	7.8	0.007929708	0.029453759	0.015434713	0.052436651	0.002765704	2.148520822	0.916852348	0.790573665	0.086265647	0.327296852	0.60176945	0.083276254	-0.054527958
2012-10-01	7.8	0.005377843	-0.008651705	-0.015434713	0.053462078	-0.006853918	1.984617159	0.887065471	0.873444734	0.107300408	0.347035858	0.531949827	0.073537143	0.044957146
2012-11-01	7.7	0.013436082	0.004747281	-0.016227766	0.001209922	0.004971073	1.970365084	0.932312707	0.856488118	0.09882052	0.342740825	0.581981294	0.081960748	-0.014614303
2012-12-01	7.9	0.02536473	0.022163505	-0.035424869	-0.126130963	-0.00300116	1.979484449	0.852902963	0.831706781	0.102176526	0.320429791	0.557167856	0.080451256	0.058155919
2013-01-01	8	-0.059589232	0.049250389	0	0.012270093	0.00126302	1.978934612	0.925333526	0.820540733	0.079098968	0.317571868	0.590565215	0.102554453	0.044078447
2013-02-01	7.7	-0.001391304	-0.002921988	0.051652635	0.050208696	0.001689641	2.018780192	0.93139165	0.848108186	0.092856145	0.34480415	0.600462343	0.094840971	-0.047296263
2013-03-01	7.5	0.000202506	0.026872008	-0.016227766	0.012804272	-0.004397033	2.117393079	0.902892863	0.815093865	0.096362394	0.320785671	0.529038146	0.091034595	0.039061475
2013-04-01	7.6	0.000294786	0.015716799	-0.055051026	-0.028389003	-0.003693924	2.08800312	0.922282332	0.807711108	0.098295225	0.330245638	0.583514639	0.072167692	-0.059748741
2013-05-01	7.5	0.006377603	0.002736874	-0.044948974	0.100768838	0.008304376	2.057930738	1.004257218	0.776222327	0.105887437	0.317394117	0.54843743	0.071371382	-0.012835783
2013-06-01	7.5	0.003216724	-0.020379876	0.023606798	-0.004744967	-0.001346168	2.1408815	0.978440623	0.722320005	0.113952053	0.274354516	0.530597722	0.07073473	-0.068168925
2013-07-01	7.3	-0.004643068	0.04394577	-0.023606798	0.011820469	-0.004466464	2.270306684	0.9375127	0.75265479	0.096819971	0.307920979	0.534092938	0.074477853	-0.093304536
